line	occurrenceID	scientificName	taxonRank	genus	specificEpithet	infraspecificEpithet	vernacularName	occurrenceRemarks	associatedMedia
2012	c5f9d3e6-8537-404d-a561-b608d296c271	Eriogonum fasciculatum polifolium	variety	Eriogonum	fasciculatum		Eastern Mojave Buckwheat	Eastern Mojave Buckwheat (Eriogonum fasciculatum var. polifolium, Polygonaceae), a desert variety of a familiar shrub	https://symbiota.ccber.ucsb.edu/kummel/2026/15557593919.jpg
4811	c0db3f70-510e-401b-8fa1-555df5219f8a	Crepis vesicaria taraxacifolia	subspecies	Crepis	vesicaria		Beaked Hawk's-beard	Mystery plant - Weedy Hawksbeard (Crepis vesicaria ssp. taraxacifolia)?	https://symbiota.ccber.ucsb.edu/kummel/2026/26621148196.jpg
10904	b68935c4-298f-4f7c-9171-c88a72cbd7b6	Soft brown scale	subspecies	Coccus	brown		Scale Insect	Male scale Insect or mealy bug - strange insect!	https://symbiota.ccber.ucsb.edu/kummel/2026/42192170504.jpg
11331	31320a2c-a47d-439b-ba4b-1472f476beab	Stropharia aeruginosa earthwormia	variety	Stropharia	aeruginosa		earthworm	Earthworm moving through leaf litter	https://symbiota.ccber.ucsb.edu/kummel/2026/46033687594.jpg
